Anton, Teodor
Oparin, Grigoriy
Asis Gargatagli, Hipolito
Kamsky, Gata
Ortega Hermida, Daniel
Malisauskas, Vidmantas
Tkachiev, Vladislav
Lerch, Patrice
Savchenko, Boris
Hidalgo Santana, Fernando
Yermolinsky, Alex
Hoi, Carsten
Quesada Perez, Yuniesky
Kanyamarala, Tarun
Larsen, Bent
Seirawan, Yasser
Matulovic, Milan
Ruiz Castillo, Joshua Daniel
Secheres, Adrian-Simion
Morozevich, Alexander
Szabo, Gergely-Andras-Gyula
Zheng, Harry Z
Alexopoulos, Georgios
Petursson, M.
Vignesh,B
Villegas,P
Thejkumar, M. S.
Miedema, David
Zhigalko, Sergei
Bonafede, Alessandro
Reinderman, Dimitri
Kozak, Adam
Duda,J
Klinger, J.
Martinovsky, Eugene
Beltran Rueda, Santiago
Sahovic, Dragutin
Pourkashiyan, Atousa
Hector, Jonny
Almeida Quintana, Omar
Ehlvest, Jaan
Leon Valdes, Jony Wilson
Ionov, Sergey
Nunn, John D M
Baklan, Vladimir
Moreno Ibanez, Miguel
Vasiukov, Evgeni
Bu, Xiangzhi
Schmittdiel, Eckhard
Tregubov, Pavel V.
Timofeev, Artyom
Nakar, Eylon
Vidarte Morales, Arturo
Anand, Viswanathan
Bilek, Istvan
Ibarra Chami, Luis Fernando
Caruana, Fabiano
Georgiev,Ki
Tukmakov, Vladimir B
Rizouk, Aimen
Pechac, Jergus
Kirov, Nino
Vehi Bach, Victor Manuel
Haik, Aldo
De La Paz Perdomo, Frank
Ageichenko, Genadi A
Kozul, Zdenko
Becker, Michael
Loginov, Valery A
Minasian, Ara
Dahlhaus, Friedhelm
Nataf, Igor-Alexandre
Huzman, Alexander
Panno, Oscar
Morovic Fernandez, Ivan
Bogoljubow, Efim
Bekker-Jensen, Simon
Van Foreest, Jorden
Bhend, Edwin
De Firmian, Nick
Jobava, Baadur
Del Rey, Diego
Kantsler, Boris
Smyslov, V.
Psakhis, Lev
Olafsson, H.
Parligras, Mircea-Emilian
Gonzalez Garcia,J2
Anand,V
Oms Pallisse, Josep
Novik,Ma
Krishna C R G
Nielsen, Peter Heine
Stahlberg, Gideon
Hernandez,Crist COL
Bierenbroodspot, Paul
Kallai, Gabor
Cabrilo, Goran
Baches Garcia, Guillermo
Mestel, A Jonathan
Villar Reymundo, Juan Antonio
Sokolov,I
Marn, Jan
Xie, Jun
Forster, Richard
Galego, Luis
Brynell, Stellan
Yemelin, Vasily
Lysyj, Igor
Keene, Raymond D
Ganguly, Surya Shekhar
